No,Nama,Posisi,Usia,Asal Negara
1,Hector Bellerin,Right Back,24,Spain
2,Mesut Ozil,Midfielder,31,Germany
3,Emiliano Martinez,Goalkeeper,27,Argentina
4,Calum Chambers,Defender,24,England
5,Matt Macey,Goalkeeper,25,England
6,Ainsley Maitland-Niles,Midfielder,22,England
7,Kieran Tierney,Defender,22,Scotland
8,Alexandre Lacazette,Forward,28,France
9,Shkodran Mustafi,Defender,27,Germany
10,David Luiz,Defender,32,Brazil
11,Sokratis Papastathopoulos,Defender,31,Greece
12,Pierre-Emerick Aubameyang,Forward,30,Gabon
13,Bernd Leno,Goalkeeper,27,Germany
14,Daniel Ceballos,Centre Midfielder,23,Spain
15,Granit Xhaka,Midfielder,27,Switzerland
16,Rob Holding,Centre Back,24,England
17,Sead Kolasinac,Defender,26,Bosnia-Herzegovina
18,Konstantinos Mavropanos,Defender,22,Greece
19,Matteo Guendouzi,Centre Midfielder,20,France
20,Lucas Torreira,Defensive Midfielder,23,Uruguay
21,Unai Emery,Manager,48,Spain
22,Nicolas Pepe ,Winger,24,France
23,Jherson Vergara,Defender,25,Colombia
24,Victor Alvarez,Left Back,26,Spain
25,Maksim Belyayev,Defender,28,Russia
