No,Nama,Posisi,Usia,Asal Negara
1,Eden Hazard,Left Wing,28,Belgium
2,Thibaut Courtois,Goalkeeper,27,Belgium
3,James Rodriguez,Attacking Midfielder,28,Colombia
4,Toni Kroos,Midfielder,29,Germany
5,Raphael Varane,Centre Back,26,France
6,Sergio Ramos,Centre Back,33,Spain
7,Marcelo,Left Back,31,Brazil
8,Daniel Carvajal,Right Back,27,Spain
9,Nacho Fernandez,Defender,29,Spain
10,Gareth Bale,Winger,30,Wales
11,Luka Modric,Midfielder,34,Croatia
12,Isco,Midfielder,27,Spain
13,Karim Benzema,Forward,32,France
14,Casemiro,Midfielder,27,Brazil
15,Éder Militão,Centre Back,21,Brazil
16,Ferland Mendy,Left Back,24,France
17,Lucas Vazquez,Right Wing,28,Spain
18,Alphonse Areola,Goalkeeper,26,France
19,Marco Asensio,Left Wing,23,Spain
20,Zinedine Zidane,Manager,47,France
21,Mariano,Forward,26,Dominican Republic
22,Vinícius Júnior,Left Wing,19,Brazil
23,Álvaro Odriozola,Defender,24,Spain
24,Brahim Díaz,Attacking Midfielder,20,Spain
25,Luka Jovic,Forward,22,Serbia
